行业,行业细分,公司,涨跌幅,市值
周期性消费,零售,王府井,1.41,30139142000.0
基础材料,金属与开采,攀钢钒钛,0.58,30064112000.0
工业,航空航天和国防,洪都航空,-0.45,29946702000.0
公用事业,公共事业 - 管制,重庆水务,0.16,29904000000.0
金融服务,多元化金融服务,第一创业,3.04,29879064000.0
周期性消费,包装和容器,裕同科技,2.44,29850875000.0
医疗保健,医药制造,丽珠集团,0.3,29831371000.0
基础材料,化工,北元集团,1.72,29827778000.0
工业,航空航天和国防,北摩高科,3.0,29675370000.0
公用事业,公共事业 - 独立发电商,湖北能源,0.44,29608895000.0
工业,工业制品,海优新材,12.57,29575040000.0
公用事业,公共事业 - 管制,申能股份,0.0,29521350000.0
通信服务,传媒,光线传媒,0.5,29453429000.0
科技,硬件,七一二,-1.09,29451800000.0
非周期性消费,零售 - 防守型,桃李面包,0.13,29413884000.0
医疗保健,医药制造,我武生物,0.85,29373062000.0
基础材料,金属与开采,西藏矿业,3.95,29348164000.0
医疗保健,医疗产品分销,辽宁成大,1.86,29263349000.0
基础材料,化工,鲁西化工,2.68,29250340000.0
科技,半导体,扬杰科技,8.81,29181186000.0
工业,交通运输,中谷物流,1.71,29117475000.0
基础材料,化工,传化智联,1.4,28994551000.0
非周期性消费,农副加工食品,圣农发展,1.09,28982210000.0
基础材料,金属与开采,锡业股份,3.1,28953270000.0
周期性消费,包装和容器,蔚蓝锂芯,6.16,28940853000.0
工业,工业制品,厦钨新能,2.89,28847792000.0
工业,交通运输,招港B,1.67,28786225000.0
工业,交通运输,中远海发,1.31,28766288000.0
工业,工业制品,华工科技,0.7,28747322000.0
科技,硬件,欧菲光,0.69,28707918000.0
非周期性消费,农副加工食品,涪陵榨菜,-1.07,28661573000.0
非周期性消费,农副加工食品,湘财股份,10.0,28578134000.0
医疗保健,生物科技,大参林,-1.5,28531512000.0
非周期性消费,农副加工食品,上海家化,-0.5,28510666000.0
能源,石油与天然气,海油发展,2.94,28462292000.0
医疗保健,医药制造,药石科技,1.0,28447222000.0
科技,半导体,太阳能,1.28,28417076000.0
基础材料,金属与开采,赤峰黄金,1.01,28402967000.0
非周期性消费,农副加工食品,妙可蓝多,-0.92,28386396000.0
金融服务,资本市场,华林证券,1.74,28350000000.0
房地产,房地产,中炬高新,0.03,28336385000.0
工业,交通运输,白云机场,-1.89,28329618000.0
工业,工业制品,艾迪精密,2.59,28284781000.0
科技,硬件,极米科技,-1.05,28250000000.0
公用事业,公共事业 - 管制,福能股份,3.15,28244379000.0
通信服务,交互式媒体,吉比特,1.72,28173060000.0
基础材料,金属与开采,盛屯矿业,1.79,28102972000.0
基础材料,化工,凯盛新材,15.44,27972560000.0
非周期性消费,农副加工食品,洽洽食品,-0.45,27966214000.0
科技,硬件,锐科激光,5.24,27936026000.0
医疗保健,医疗器械,海尔生物,-1.5,27930851000.0
工业,工业制品,美亚光电,-0.6,27925560000.0
科技,硬件,雷电微力,7.54,27878400000.0
基础材料,化工,中核钛白,-0.51,27868347000.0
科技,硬件,风华高科,2.64,27796988000.0
周期性消费,服饰加工,海澜之家,-0.31,27688652000.0
通信服务,传媒,天下秀,9.99,27676616000.0
科技,半导体,通富微电,0.87,27630678000.0
周期性消费,汽车和配件,春风动力,-3.27,27554206000.0
科技,硬件,航天发展,0.88,27551310000.0
工业,建筑,上海建工,0.0,27514589000.0
工业,工业制品,国机重装,0.0,27401354000.0
工业,工业制品,中国西电,-0.56,27372212000.0
基础材料,化工,淮北矿业,1.66,27291395000.0
通信服务,交互式媒体,昆仑万维,0.13,27277939000.0
医疗保健,医药制造,东阿阿胶,-0.19,27272698000.0
科技,硬件,横店东磁,-7.4,27247427000.0
医疗保健,医疗器械,威高骨科,0.7,27176000000.0
工业,工业制品,诺德股份,4.53,27079066000.0
工业,建筑,森特股份,-2.47,27063923000.0
医疗保健,生物科技,以岭药业,0.0,27048720000.0
科技,半导体,京运通,1.63,27043552000.0
工业,工业制品,中际旭创,1.29,27043254000.0
基础材料,化工,金禾实业,5.06,27019017000.0
科技,硬件,移远通信,0.39,27009900000.0
基础材料,林业,仙鹤股份,-0.26,26961081000.0
基础材料,化工,金博股份,4.88,26959230000.0
工业,航空航天和国防,钢研高纳,5.68,26951181000.0
工业,工业制品,大金重工,-2.26,26905251000.0
工业,工业制品,易事特,-1.28,26898837000.0
工业,工业制品,杭氧股份,5.71,26796693000.0
科技,软件,启明星辰,2.69,26784518000.0
工业,工业制品,广电运通,1.9,26621865000.0
工业,工业制品,露笑科技,-2.18,26620944000.0
公用事业,公共事业 - 独立发电商,晶科科技,1.66,26597198000.0
工业,工业制品,大豪科技,-0.35,26579119000.0
通信服务,交互式媒体,东方明珠,0.65,26564812000.0
金融服务,资产管理,ST安信,-0.21,26525319000.0
基础材料,金属与开采,银泰黄金,0.21,26517698000.0
医疗保健,生物科技,达安基因,0.37,26497061000.0
基础材料,化工,中简科技,-2.0,26460662000.0
科技,硬件,利亚德,1.07,26446175000.0
公用事业,公共事业 - 管制,深圳燃气,2.8,26437494000.0
工业,工业制品,铁建重工,0.0,26400810000.0
医疗保健,医药制造,科伦药业,0.54,26356069000.0
科技,硬件,沪电股份,1.54,26306657000.0
基础材料,化工,远兴能源,5.14,26301634000.0
医疗保健,医疗器械,爱博医疗,-0.56,26282715000.0
基础材料,化工,中泰化学,7.13,26272543000.0
周期性消费,汽车和配件,华阳集团,4.43,26270550000.0
医疗保健,医疗器械,佰仁医疗,5.46,26233149000.0
周期性消费,汽车和配件,伯特利,-1.51,26173220000.0
基础材料,钢铁和焦煤,海南矿业,-1.68,26079952000.0
周期性消费,零售,*ST大集,0.0,26021718000.0
基础材料,钢铁和焦煤,马钢股份,1.94,26002508000.0
基础材料,化工,联创股份,8.66,25976024000.0
基础材料,化工,东岳硅材,3.01,25896000000.0
科技,半导体,爱康科技,1.94,25846903000.0
科技,软件,中国软件,0.6,25821123000.0
科技,硬件,彩虹股份,2.57,25800522000.0
工业,工业制品,鸿路钢构,0.04,25716151000.0
基础材料,化工,维远股份,5.27,25690500000.0
非周期性消费,农副加工食品,北大荒,0.07,25687475000.0
医疗保健,医疗机构和服务,九州通,0.81,25633604000.0
工业,航空航天和国防,三角防务,-0.69,25577710000.0
房地产,房地产,小商品城,0.65,25484059000.0
周期性消费,汽车和配件,富临精工,-4.94,25475710000.0
科技,半导体,协鑫集成,0.46,25355422000.0
周期性消费,汽车和配件,宇通客车,0.81,25254312000.0
房地产,房地产,新湖中宝,1.74,25196077000.0
工业,工业制品,埃斯顿,-0.31,25164454000.0
科技,硬件,奥普特,0.35,25119615000.0
科技,硬件,水晶光电,6.1,25100912000.0
基础材料,金属与开采,驰宏锌锗,0.61,25100067000.0
医疗保健,生物科技,义翘神州,0.68,25092000000.0
金融服务,银行,齐鲁银行,1.3,25011350000.0
科技,硬件,联创电子,10.01,24997604000.0
公用事业,公共事业 - 管制,东方能源,1.09,24979062000.0
周期性消费,旅游和娱乐,首旅酒店,-0.86,24932497000.0
工业,工业制品,利元亨,-1.67,24912800000.0
工业,企业集团,顺鑫农业,0.18,24886282000.0
工业,建筑,山东高速,0.58,24873727000.0
基础材料,化工,川发龙蟒,0.14,24843436000.0
科技,硬件,盈趣科技,0.99,24834823000.0
能源,其他能源,华阳股份,2.9,24747450000.0
基础材料,化工,航锦科技,4.9,24710627000.0
科技,硬件,景旺电子,2.91,24703478000.0
金融服务,资本市场,华西证券,2.84,24675000000.0
基础材料,金属与开采,寒锐钴业,0.78,24574312000.0
非周期性消费,农副加工食品,立高食品,0.34,24552607000.0
科技,硬件,信维通信,1.48,24508514000.0
基础材料,金属与开采,海亮股份,2.89,24505516000.0
金融服务,资本市场,华安证券,1.96,24474799000.0
科技,硬件,深科技,0.51,24470013000.0
工业,建筑,中材国际,-0.45,24444012000.0
基础材料,钢铁和焦煤,河钢股份,1.76,24422798000.0
工业,工业制品,陕鼓动力,2.84,24416573000.0
基础材料,化工,海南橡胶,1.43,24349944000.0
科技,半导体,中来股份,9.37,24309586000.0
周期性消费,汽车和配件,双环传动,-1.65,24287309000.0
基础材料,化工,齐翔腾达,-10.0,24267928000.0
工业,工业制品,许继电气,5.88,24159522000.0
周期性消费,包装和容器,山东药玻,1.88,24155691000.0
周期性消费,零售,国际医学,-2.21,24147589000.0
医疗保健,医药制造,通化东宝,1.63,24123104000.0
工业,商业服务,建发股份,3.97,24024115000.0
能源,石油与天然气,龙蟠科技,-1.83,24017791000.0
医疗保健,医药制造,普利制药,5.16,23927387000.0
金融服务,银行,贵阳银行,0.62,23911535000.0
医疗保健,生物科技,神州细胞,-1.55,23843337000.0
工业,工业制品,林洋能源,3.86,23836157000.0
工业,航空航天和国防,航天彩虹,2.21,23818101000.0
科技,硬件,龙腾光电,3.03,23800000000.0
医疗保健,医药制造,华润三九,0.58,23767692000.0
科技,半导体,捷捷微电,4.34,23714729000.0
周期性消费,零售,中国黄金,0.07,23704800000.0
科技,半导体,南大光电,-0.78,23675935000.0
房地产,房地产,金科股份,4.48,23654941000.0
工业,企业集团,首创环保,1.58,23636702000.0
基础材料,金属与开采,明泰铝业,6.56,23623750000.0
周期性消费,汽车和配件,福田汽车,1.41,23604939000.0
科技,硬件,和而泰,2.88,23490235000.0
公用事业,公共事业 - 独立发电商,江苏国信,0.0,23424094000.0
基础材料,化工,鼎龙股份,2.43,23416695000.0
房地产,房地产,张江高科,1.07,23354238000.0
科技,硬件,创世纪,4.94,23353620000.0
科技,硬件,兆驰股份,2.18,23313744000.0
金融服务,多元化金融服务,五矿资本,1.57,23299979000.0
金融服务,资本市场,山西证券,1.88,23297617000.0
周期性消费,汽车和配件,森麒麟,-1.92,23297128000.0
工业,交通运输,中铁特货,0.58,23288889000.0
科技,硬件,木林森,7.99,23256887000.0
医疗保健,医药制造,国药股份,-0.19,23246237000.0
科技,硬件,胜宏科技,7.09,23241312000.0
基础材料,金属与开采,云南铜业,2.24,23234606000.0
工业,工业制品,中国一重,0.0,23179306000.0
科技,硬件,电连技术,5.15,23098608000.0
科技,软件,航天信息,1.05,23086943000.0
科技,软件,安恒信息,2.14,23079827000.0
工业,工业制品,奥特维,2.75,23069046000.0
科技,硬件,海格通信,0.4,23067531000.0
公用事业,公共事业 - 独立发电商,上海电力,1.03,23031045000.0
科技,软件,东华软件,0.7,22983309000.0
非周期性消费,农副加工食品,中顺洁柔,-1.69,22917874000.0
基础材料,金属与开采,金钼股份,1.0,22908891000.0
科技,硬件,拓邦股份,-0.54,22895662000.0
基础材料,农业,湖北宜化,2.0,22877644000.0
工业,建筑,中国核建,1.29,22860304000.0
工业,航空航天和国防,航天电子,4.88,22814686000.0
基础材料,化工,振华新材,5.25,22806713000.0
基础材料,金属与开采,大中矿业,0.07,22755720000.0
工业,工业制品,盈峰环境,-1.24,22742595000.0
金融服务,银行,苏州银行,0.59,22733333000.0
